Time: 12/27/2024, 8:32:18 AM | Route: / | Method: GET
Time: 12/27/2024, 8:40:49 AM | Route: /users | Method: GET
Time: 12/27/2024, 8:43:26 AM | Route: /users | Method: GET
Time: 12/27/2024, 8:45:29 AM | Route: / | Method: GET
Time: 12/27/2024, 8:45:33 AM | Route: /users | Method: GET
Time: 12/27/2024, 8:47:30 AM | Route: /users | Method: GET
Time: 12/27/2024, 9:02:53 AM | Route: /users | Method: POST
Time: 12/27/2024, 9:03:44 AM | Route: /users | Method: POST
Time: 12/27/2024, 9:08:16 AM | Route: /users | Method: POST
Time: 12/27/2024, 9:08:22 AM | Route: /users | Method: GET
Time: 12/27/2024, 9:08:30 AM | Route: /users/1735270696385 | Method: GET
Time: 12/27/2024, 9:08:38 AM | Route: /users/1735270696385 | Method: PUT
Time: 12/27/2024, 9:10:54 AM | Route: /users/1735270696385 | Method: PUT
Time: 12/27/2024, 9:11:15 AM | Route: /users/1735270696385 | Method: GET
Time: 12/27/2024, 9:11:21 AM | Route: /users/ | Method: GET
Time: 12/27/2024, 9:14:41 AM | Route: /users/1735270424797 | Method: DELETE
Time: 12/27/2024, 9:14:59 AM | Route: /users/ | Method: GET
Time: 12/27/2024, 9:15:09 AM | Route: /users/1735270424797 | Method: GET
Time: 12/27/2024, 9:15:16 AM | Route: /users/1735270424797 | Method: DELETE
Time: 12/27/2024, 9:15:29 AM | Route: /users/1735270424797 | Method: DELETE
Time: 12/27/2024, 9:15:35 AM | Route: /users/1735270424797 | Method: GET
Time: 12/27/2024, 9:15:39 AM | Route: /users/ | Method: GET
Time: 12/27/2024, 9:16:34 AM | Route: /users/ | Method: GET
Time: 12/27/2024, 9:16:43 AM | Route: /users/ | Method: POST
Time: 12/27/2024, 9:16:47 AM | Route: /users/ | Method: GET
Time: 12/28/2024, 8:56:25 PM | Route: / | Method: GET
Time: 12/28/2024, 8:56:26 PM | Route: / | Method: GET
Time: 12/28/2024, 8:56:26 PM | Route: /favicon.ico | Method: GET
Time: 12/28/2024, 8:56:36 PM | Route: / | Method: GET
Time: 1/2/2025, 5:56:19 AM | Route: / | Method: GET
Time: 1/2/2025, 5:56:19 AM | Route: /favicon.ico | Method: GET
Time: 1/2/2025, 5:56:32 AM | Route: /favicon.ico | Method: GET
Time: 1/2/2025, 5:56:37 AM | Route: /users | Method: GET
Time: 1/2/2025, 5:57:56 AM | Route: /users | Method: GET
Time: 1/2/2025, 5:58:06 AM | Route: /users | Method: GET
Time: 1/2/2025, 5:58:15 AM | Route: /users | Method: GET
Time: 1/2/2025, 5:59:11 AM | Route: /users | Method: GET
Time: 1/2/2025, 5:59:28 AM | Route: /users | Method: GET
Time: 1/2/2025, 6:06:21 AM | Route: /users | Method: GET
Time: 1/2/2025, 6:06:22 AM | Route: /users | Method: GET
Time: 1/2/2025, 6:08:05 AM | Route: / | Method: GET
Time: 1/2/2025, 6:08:10 AM | Route: /users | Method: GET
Time: 1/2/2025, 5:18:38 PM | Route: / | Method: GET
Time: 1/2/2025, 5:18:38 PM | Route: /favicon.ico | Method: GET
Time: 1/2/2025, 5:20:00 PM | Route: / | Method: GET
Time: 1/2/2025, 5:20:18 PM | Route: / | Method: GET
Time: 1/2/2025, 5:20:51 PM | Route: / | Method: GET
Time: 1/2/2025, 5:20:56 PM | Route: / | Method: GET
Time: 1/2/2025, 5:21:51 PM | Route: / | Method: GET
Time: 12:42:41 AM || Method: GET || Route: / 
Time: 12:43:56 AM || Method: GET || Route: / 
Time: 12:44:10 AM || Method: GET || Route: / 
Time: 1/5/2025, 12:47:00 AM | Route: / | Method: GET
Time: 1/5/2025, 12:47:10 AM | Route: / | Method: GET
