Time: 1/5/2025, 9:36:42 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 9:36:42 AM | Route: /favicon.ico | Method: GET
Time: 1/5/2025, 9:36:48 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:39:27 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:39:31 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:39:45 AM | Route: /users | Method: GET
Time: 1/5/2025, 10:40:20 AM | Route: /movies | Method: GET
Time: 1/5/2025, 10:40:26 AM | Route: /movies | Method: GET
Time: 1/5/2025, 10:40:30 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:40:32 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:40:58 AM | Route: /movies | Method: GET
Time: 1/5/2025, 10:41:09 AM | Route: /movies | Method: GET
Time: 1/5/2025, 10:41:35 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:41:36 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:41:45 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:42:00 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:42:01 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:42:01 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:05 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:12 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:37 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:38 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:39 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:39 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:39 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:39 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:40 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:40 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:40 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:41 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:41 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:41 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:45 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:43:54 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:44:03 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:44:03 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:44:04 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:44:04 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:46:32 AM | Route: /movies | Method: GET
Time: 1/5/2025, 10:46:35 AM | Route: /movies | Method: GET
Time: 1/5/2025, 10:46:51 AM | Route: /movies | Method: GET
Time: 1/5/2025, 10:47:02 AM | Route: /movies | Method: GET
Time: 1/5/2025, 10:47:04 AM | Route: /movies | Method: GET
Time: 1/5/2025, 10:47:11 AM | Route: / | Method: GET
Time: 1/5/2025, 10:47:11 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:47:17 AM | Route: / | Method: GET
Time: 1/5/2025, 10:47:17 AM | Route: /style.css | Method: GET
Time: 1/5/2025, 10:47:19 AM | Route: / | Method: GET
Time: 1/5/2025, 10:47:19 AM | Route: /style.css | Method: GET
